adrass,date,squre,price for meter,num of rooms,flor,year build,Day,Month,Year,total price
התוף 7,15.8.2019,44,32500,2.5,8,2002,15,8,2019,1430000.0
התזמורת 40,1.8.2019,111,22522,5.0,11,2000,1,8,2019,2499942.0
התוף 5,18.7.2019,44,33636,2.5,3,2004,18,7,2019,1479984.0
התזמורת 58,11.6.2019,111,21621,5.0,3,1997,11,6,2019,2399931.0
התזמורת 2,6.6.2019,69,24782,3.0,8,1998,6,6,2019,1709958.0
התזמורת 40,5.6.2019,91,22967,4.5,9,1997,5,6,2019,2089997.0
העוגב 9,22.5.2019,132,22348,5.0,6,2000,22,5,2019,2949936.0
הכינור 7,12.5.2019,91,22252,4.0,5,1995,12,5,2019,2024932.0
התזמורת 48,7.5.2019,99,19595,4.0,5,1970,7,5,2019,1939905.0
המפוחית 12,5.5.2019,71,24126,3.0,3,2001,5,5,2019,1712946.0
המפוחית 7,18.4.2019,71,24647,3.0,3,1996,18,4,2019,1749937.0
התזמורת 52,17.4.2019,77,22077,4.0,1,1998,17,4,2019,1699929.0
התזמורת 48,15.4.2019,99,20555,4.0,3,1998,15,4,2019,2034945.0
התזמורת 34,11.4.2019,72,25694,3.0,2,1997,11,4,2019,1849968.0
התזמורת 24,31.3.2019,94,22978,4.0,3,1995,31,3,2019,2159932.0
הגיתית 2,28.3.2019,109,26146,5.0,6,1997,28,3,2019,2849914.0
התזמורת 4,26.3.2019,82,24268,4.0,12,1998,26,3,2019,1989976.0
התזמורת 32,26.3.2019,90,24444,4.5,8,1997,26,3,2019,2199960.0
הכינור 6,25.3.2019,67,25074,3.0,4,2005,25,3,2019,1679958.0
המפוחית 12,21.3.2019,87,21034,3.5,4,1993,21,3,2019,1829958.0
התזמורת 40,14.3.2019,73,24657,3.0,1,1997,14,3,2019,1799961.0
התזמורת 4,8.3.2019,83,24096,4.0,10,1998,8,3,2019,1999968.0
האורגן 4,4.3.2019,62,28064,3.0,4,1997,4,3,2019,1739968.0
התזמורת 26,4.3.2019,82,24146,4.0,6,1999,4,3,2019,1979972.0
התזמורת 42,24.2.2019,63,26507,3.0,2,2000,24,2,2019,1669941.0
העוגב 2,17.2.2019,101,26237,4.0,1,1998,17,2,2019,2649937.0
הפסנתר 9,14.2.2019,91,21318,4.0,1,2004,14,2,2019,1939938.0
החליל 4,12.2.2019,67,25597,3.0,0,1995,12,2,2019,1714999.0
הגיתית 7,10.2.2019,85,22117,3.5,2,2000,10,2,2019,1879945.0
התוף 7,8.2.2019,44,35113,2.5,2,2002,8,2,2019,1544972.0
התזמורת 8,6.2.2019,68,25735,3.0,6,1997,6,2,2019,1749980.0
החליל 20,5.2.2019,66,23939,3.0,2,1997,5,2,2019,1579974.0
החליל 10,4.2.2019,66,23939,3.0,2,1995,4,2,2019,1579974.0
התזמורת 32,4.2.2019,98,23698,4.5,3,1997,4,2,2019,2322404.0
העוגב 10,29.1.2019,75,21800,3.0,2,1997,29,1,2019,1635000.0
התזמורת 52,23.1.2019,119,17983,5.0,5,1998,23,1,2019,2139977.0
הכינור 9,4.1.2019,95,22105,4.0,3,2000,4,1,2019,2099975.0
הכינור 6,31.12.2018,92,21630,4.0,1,1998,31,12,2018,1989960.0
המפוחית 12,30.12.2018,71,21126,3.0,1,2000,30,12,2018,1499946.0
המפוחית 3,27.12.2018,82,22560,3.5,3,1994,27,12,2018,1849920.0
האורגן 3,6.12.2018,62,24217,3.0,4,1996,6,12,2018,1501454.0
הפסנתר 5,6.12.2018,92,23722,4.0,0,1996,6,12,2018,2182424.0
הכינור 8,20.11.2018,146,12910,4.0,4,1996,20,11,2018,1884860.0
התזמורת 32,19.11.2018,91,23076,4.0,4,1998,19,11,2018,2099916.0
המפוחית 8,15.11.2018,82,21097,3.5,3,2000,15,11,2018,1729954.0
התזמורת 58,8.11.2018,80,24062,4.0,4,1997,8,11,2018,1924960.0
הפסנתר 11,8.11.2018,100,19700,4.0,4,1998,8,11,2018,1970000.0
התזמורת 10,25.10.2018,68,26029,3.0,9,1997,25,10,2018,1769972.0
הקלרנית 1,22.10.2018,64,25312,3.0,1,1996,22,10,2018,1619968.0
התזמורת 12,19.10.2018,69,23768,3.0,3,2000,19,10,2018,1639992.0
הקלרנית 1,17.10.2018,64,27187,3.0,3,1997,17,10,2018,1739968.0
התזמורת 32,15.10.2018,88,27556,4.5,8,2001,15,10,2018,2424928.0
האורגן 1,9.10.2018,63,26349,3.0,5,1998,9,10,2018,1659987.0
הגיתית 9,6.9.2018,92,18478,4.0,3,2000,6,9,2018,1699976.0
הקלרנית 9,3.9.2018,117,20854,5.0,6,1998,3,9,2018,2439918.0
החליל 7,2.9.2018,67,26716,3.0,1,1996,2,9,2018,1789972.0
הפסנתר 8,29.8.2018,63,26507,3.0,4,1997,29,8,2018,1669941.0
התזמורת 44,17.8.2018,117,19059,5.0,4,1998,17,8,2018,2229903.0
החליל 5,15.8.2018,69,22173,3.0,2,2000,15,8,2018,1529937.0
התזמורת 8,14.8.2018,69,23724,3.0,5,1998,14,8,2018,1636956.0
האורגן 3,12.8.2018,93,21129,4.0,3,1995,12,8,2018,1964997.0
התזמורת 50,9.8.2018,103,20873,4.0,5,1998,9,8,2018,2149919.0
הגיתית 2,7.8.2018,103,24271,5.0,0,1996,7,8,2018,2499913.0
התוף 7,30.7.2018,44,31363,2.0,7,2002,30,7,2018,1379972.0
הגיתית 7,29.7.2018,67,23880,3.0,3,2000,29,7,2018,1599960.0
המפוחית 10,27.7.2018,71,22535,3.0,2,1995,27,7,2018,1599985.0
התזמורת 4,23.7.2018,91,19120,3.0,1,2001,23,7,2018,1739920.0
הפסנתר 7,13.7.2018,86,20930,4.0,6,1998,13,7,2018,1799980.0
הגיתית 4,10.7.2018,85,22352,3.5,4,1997,10,7,2018,1899920.0
הפסנתר 4,4.7.2018,74,22027,3.0,4,1994,4,7,2018,1629998.0
החליל 22,28.6.2018,70,23142,4.0,3,1998,28,6,2018,1619940.0
הכינור 8,12.6.2018,50,39500,3.0,0,1995,12,6,2018,1975000.0
הקלרנית 7,12.6.2018,119,23949,5.0,7,1997,12,6,2018,2849931.0
התזמורת 16,11.6.2018,105,19714,5.0,2,2000,11,6,2018,2069970.0
התזמורת 48,4.6.2018,100,19750,4.0,3,1998,4,6,2018,1975000.0
החליל 16,28.5.2018,84,19642,4.0,1,1999,28,5,2018,1649928.0
המפוחית 3,24.5.2018,68,25000,3.0,1,1998,24,5,2018,1700000.0
התזמורת 34,9.5.2018,98,22091,4.0,3,2000,9,5,2018,2164918.0
האורגן 11,8.5.2018,66,23484,3.0,1,2003,8,5,2018,1549944.0
הקלרנית 4,7.5.2018,113,17699,5.0,1,2000,7,5,2018,1999987.0
העוגב 7,24.4.2018,75,22666,3.0,5,1998,24,4,2018,1699950.0
הקלרנית 8,16.4.2018,90,24444,4.5,0,1991,16,4,2018,2199960.0
התוף 5,16.4.2018,44,29545,2.5,10,2000,16,4,2018,1299980.0
התזמורת 20,15.4.2018,101,21287,4.0,2,2000,15,4,2018,2149987.0
התזמורת 56,11.4.2018,100,23300,4.5,5,2002,11,4,2018,2330000.0
הגיתית 4,29.3.2018,67,27014,3.0,3,1998,29,3,2018,1809938.0
הגיתית 4,28.3.2018,85,20882,3.5,2,1996,28,3,2018,1774970.0
הכינור 6,28.3.2018,110,16363,5.0,4,1997,28,3,2018,1799930.0
התזמורת 46,28.3.2018,96,21145,4.0,4,1998,28,3,2018,2029920.0
הקלרנית 6,27.3.2018,112,19866,5.0,1,1998,27,3,2018,2224992.0
הכינור 4,27.3.2018,105,20000,5.0,4,1998,27,3,2018,2100000.0
הגיתית 12,26.3.2018,92,20434,4.0,2,1997,26,3,2018,1879928.0
המפוחית 7,21.3.2018,117,22692,4.5,5,1996,21,3,2018,2654964.0
הגיתית 4,20.3.2018,92,21086,4.0,4,1998,20,3,2018,1939912.0
הכינור 7,13.3.2018,70,24142,3.0,3,1999,13,3,2018,1689940.0
הגיתית 4,13.3.2018,67,25858,3.0,5,1998,13,3,2018,1732486.0
התזמורת 56,12.3.2018,65,25076,3.0,4,1998,12,3,2018,1629940.0
האורגן 6,8.3.2018,63,25396,3.0,4,1997,8,3,2018,1599948.0
הגיתית 6,7.3.2018,67,25373,4.0,3,2002,7,3,2018,1699991.0
הגיתית 8,4.3.2018,67,26865,3.0,5,1996,4,3,2018,1799955.0
הקלרנית 4,4.3.2018,112,19776,5.0,5,1986,4,3,2018,2214912.0
העוגב 6,4.3.2018,75,22666,3.0,3,1997,4,3,2018,1699950.0
הגיתית 12,22.2.2018,67,24328,3.0,1,1997,22,2,2018,1629976.0
התוף 9,21.2.2018,44,33409,2.5,9,1999,21,2,2018,1469996.0
הגיתית 9,20.2.2018,92,20108,4.0,5,2000,20,2,2018,1849936.0
החליל 7,15.2.2018,70,25714,3.0,0,2000,15,2,2018,1799980.0
הגיתית 9,12.2.2018,67,25820,3.0,2,1999,12,2,2018,1729940.0
הכינור 9,4.2.2018,70,25000,3.0,4,1997,4,2,2018,1750000.0
הכינור 9,4.2.2018,91,22857,4.0,4,1997,4,2,2018,2079987.0
החליל 10,30.1.2018,46,31630,2.0,0,1998,30,1,2018,1454980.0
החליל 7,25.1.2018,70,22428,3.0,2,1999,25,1,2018,1569960.0
התוף 7,22.1.2018,44,33863,2.5,6,2005,22,1,2018,1489972.0
האורגן 3,16.1.2018,128,20859,5.0,6,1997,16,1,2018,2669952.0
החליל 6,10.1.2018,100,19000,4.0,0,2000,10,1,2018,1900000.0
נביעות 2,10.1.2018,69,25000,3.0,2,1998,10,1,2018,1725000.0
הקלרנית 10,8.1.2018,86,21453,4.0,7,1999,8,1,2018,1844958.0
החליל 14,8.1.2018,73,24109,3.0,0,1997,8,1,2018,1759957.0
התזמורת 2,2.1.2018,100,21200,4.0,1,1997,2,1,2018,2120000.0
הגיתית 8,21.12.2017,85,21647,3.5,5,2017,21,12,2017,1839995.0
התוף 55,4.12.2017,44,33863,2.5,7,2000,4,12,2017,1489972.0
הפסנתר 5,29.11.2017,105,19047,4.0,3,1996,29,11,2017,1999935.0
המפוחית 8,29.11.2017,69,24637,3.0,3,2000,29,11,2017,1699953.0
העוגב 8,5.11.2017,103,19757,4.0,4,1996,5,11,2017,2034971.0
החליל 4,29.10.2017,67,24179,4.0,2,2000,29,10,2017,1619993.0
התזמורת 26,19.10.2017,67,24477,3.0,3,2002,19,10,2017,1639959.0
התזמורת 40,18.10.2017,88,25000,4.0,4,2008,18,10,2017,2200000.0
המפוחית 5,18.10.2017,110,22272,5.0,1,2005,18,10,2017,2449920.0
המפוחית 10,1.10.2017,106,18396,4.0,3,1982,1,10,2017,1949976.0
התוף 7,17.9.2017,51,29313,2.5,1,1997,17,9,2017,1494963.0
הפסנתר 6,11.9.2017,78,23076,4.0,5,1990,11,9,2017,1799928.0
התוף 7,10.9.2017,44,35454,2.5,9,1999,10,9,2017,1559976.0
התוף 5,3.9.2017,50,29560,2.0,8,1998,3,9,2017,1478000.0
המפוחית 19,29.8.2017,80,23000,3.5,2,1998,29,8,2017,1840000.0
התזמורת 4,25.8.2017,68,26323,3.0,5,1997,25,8,2017,1789964.0
הגיתית 10,25.8.2017,70,25000,3.0,4,2000,25,8,2017,1750000.0
האורגן 10,24.8.2017,93,20430,4.0,2,1995,24,8,2017,1899990.0
התזמורת 10,17.8.2017,83,20240,3.0,2,2003,17,8,2017,1679920.0
המפוחית 9,13.8.2017,85,21058,3.5,1,1994,13,8,2017,1789930.0
המפוחית 4,13.8.2017,100,17600,3.5,4,1999,13,8,2017,1760000.0
החליל 8,8.8.2017,50,32000,3.0,0,1998,8,8,2017,1600000.0
הגיתית 10,8.8.2017,85,21647,3.5,4,1997,8,8,2017,1839995.0
הגיתית 3,23.7.2017,103,23495,5.0,0,1998,23,7,2017,2419985.0
הפסנתר 3,5.7.2017,52,32211,2.5,2,1999,5,7,2017,1674972.0
הקלרנית 5,4.7.2017,121,17727,5.0,2,2000,4,7,2017,2144967.0
התזמורת 46,26.6.2017,96,21770,4.0,3,1999,26,6,2017,2089920.0
המפוחית 2,25.6.2017,83,21084,3.5,4,2000,25,6,2017,1749972.0
המפוחית 6,22.6.2017,68,25147,3.0,5,1997,22,6,2017,1709996.0
העוגב 5,13.6.2017,107,17757,4.0,3,1988,13,6,2017,1899999.0
החליל 26,29.5.2017,67,21641,2.5,2,1980,29,5,2017,1449947.0
הגיתית 12,28.5.2017,67,25671,3.0,6,2004,28,5,2017,1719957.0
התזמורת 40,25.5.2017,88,25852,4.5,4,1996,25,5,2017,2274976.0
הגיתית 4,25.5.2017,92,21195,4.0,2,1996,25,5,2017,1949940.0
הגיתית 8,24.5.2017,111,23378,5.0,1,1995,24,5,2017,2594958.0
התזמורת 22,23.5.2017,80,18750,3.0,3,2000,23,5,2017,1500000.0
הכינור 9,18.5.2017,106,23113,4.0,0,1997,18,5,2017,2449978.0
המפוחית 4,11.5.2017,68,23552,3.0,4,1999,11,5,2017,1601536.0
האורגן 5,11.5.2017,96,20729,4.0,4,1996,11,5,2017,1989984.0
הפסנתר 10,3.5.2017,63,26190,3.0,3,1997,3,5,2017,1649970.0
החליל 6,20.4.2017,67,22671,3.0,1,1996,20,4,2017,1518957.0
התוף 5,20.4.2017,44,35227,2.5,9,2002,20,4,2017,1549988.0
הגיתית 9,6.4.2017,106,24726,5.0,7,1998,6,4,2017,2620956.0
המפוחית 6,3.4.2017,104,18750,4.0,2,1995,3,4,2017,1950000.0
האורגן 10,2.4.2017,98,18367,4.0,3,1999,2,4,2017,1799966.0
התזמורת 36,30.3.2017,88,22500,4.0,4,1997,30,3,2017,1980000.0
התזמורת 36,28.3.2017,73,25205,3.0,1,1997,28,3,2017,1839965.0
התזמורת 36,27.3.2017,124,22338,5.5,12,1997,27,3,2017,2769912.0
הגיתית 12,22.3.2017,99,19191,4.0,4,1999,22,3,2017,1899909.0
הפסנתר 7,16.3.2017,64,25312,3.0,1,1996,16,3,2017,1619968.0
הפסנתר 4,15.3.2017,105,22857,5.0,0,1998,15,3,2017,2399985.0
התזמורת 40,28.2.2017,73,23287,3.0,1,1999,28,2,2017,1699951.0
התזמורת 28,28.2.2017,145,20000,6.0,6,1993,28,2,2017,2900000.0
הפסנתר 8,15.2.2017,119,23529,4.0,8,1995,15,2,2017,2799951.0
האורגן 1,12.2.2017,93,19408,4.0,3,1995,12,2,2017,1804944.0
הגיתית 9,10.2.2017,92,21195,4.0,2,2000,10,2,2017,1949940.0
הקלרנית 8,9.2.2017,63,27301,3.0,3,1998,9,2,2017,1719963.0
המפוחית 8,7.2.2017,83,21445,3.5,4,1980,7,2,2017,1779935.0
הגיתית 4,2.2.2017,85,21647,3.5,1,1980,2,2,2017,1839995.0
הכינור 6,23.1.2017,73,23904,3.0,3,1998,23,1,2017,1744992.0
המפוחית 3,18.1.2017,102,24264,4.5,0,1997,18,1,2017,2474928.0
התוף 7,11.1.2017,44,32386,2.0,3,2000,11,1,2017,1424984.0
הגיתית 7,5.1.2017,95,19315,4.0,4,1995,5,1,2017,1834925.0
הקלרנית 3,26.12.2016,65,15769,2.0,4,1998,26,12,2016,1024985.0
החליל 19,23.12.2016,83,15662,4.0,2,1997,23,12,2016,1299946.0
הכינור 7,22.12.2016,70,23714,3.0,4,1998,22,12,2016,1659980.0
התזמורת 14,20.12.2016,154,17500,5.0,1,2006,20,12,2016,2695000.0
העוגב 12,18.12.2016,100,19050,4.0,1,1999,18,12,2016,1905000.0
האורגן 7,13.12.2016,93,20322,4.0,3,2000,13,12,2016,1889946.0
האורגן 9,7.12.2016,93,21827,4.0,5,1998,7,12,2016,2029911.0
התזמורת 16,2.12.2016,92,21304,4.0,5,2000,2,12,2016,1959968.0
הפסנתר 10,1.12.2016,150,15000,5.0,6,2000,1,12,2016,2250000.0
הפסנתר 11,1.12.2016,150,11400,4.0,7,2004,1,12,2016,1710000.0
התזמורת 58,24.11.2016,88,23295,4.0,5,1997,24,11,2016,2049960.0
התזמורת 36,20.11.2016,79,21518,3.0,1,1998,20,11,2016,1699922.0
החליל 7,18.11.2016,67,25223,3.0,2,1960,18,11,2016,1689941.0
התזמורת 26,16.11.2016,117,22222,4.0,7,1990,16,11,2016,2599974.0
התזמורת 16,14.11.2016,92,19673,4.0,4,2002,14,11,2016,1809916.0
התזמורת 34,8.11.2016,90,21944,4.5,10,1997,8,11,2016,1974960.0
התוף 9,6.11.2016,52,26923,3.0,1,1990,6,11,2016,1399996.0
הכינור 3,2.11.2016,101,18811,4.0,2,1990,2,11,2016,1899911.0
הגיתית 2,2.11.2016,67,25223,3.0,2,1997,2,11,2016,1689941.0
התזמורת 20,2.11.2016,121,17024,5.0,4,1996,2,11,2016,2059904.0
האורגן 8,31.10.2016,98,20918,4.0,1,1997,31,10,2016,2049964.0
האורגן ,31.10.2016,110,16855,4.0,10,2016,31,10,2016,1854050.0
החליל 10,30.10.2016,65,21538,3.0,2,1998,30,10,2016,1399970.0
המפוחית 5,30.10.2016,82,20626,3.5,4,1997,30,10,2016,1691332.0
התזמורת 56,28.10.2016,73,22191,3.0,1,1998,28,10,2016,1619943.0
האורגן 10,28.10.2016,93,18924,4.0,5,1995,28,10,2016,1759932.0
המפוחית 8,25.10.2016,68,24558,3.0,4,1998,25,10,2016,1669944.0
התזמורת 28,19.10.2016,94,20585,4.0,2,1970,19,10,2016,1934990.0
התזמורת 20,13.10.2016,102,18627,4.0,2,2001,13,10,2016,1899954.0
הכינור 7,10.10.2016,90,21666,4.0,1,1990,10,10,2016,1949940.0
התזמורת 28,10.10.2016,146,18493,6.0,6,1999,10,10,2016,2699978.0
הקלרנית 3,10.10.2016,80,22000,4.0,3,1990,10,10,2016,1760000.0
התזמורת 14,29.9.2016,134,19962,6.0,6,1999,29,9,2016,2674908.0
הפסנתר 8,26.9.2016,63,23809,3.0,3,1998,26,9,2016,1499967.0
התזמורת 2,15.9.2016,83,20481,4.0,11,2000,15,9,2016,1699923.0
התזמורת 14,8.9.2016,69,23188,3.0,2,2000,8,9,2016,1599972.0
התזמורת 32,5.9.2016,124,22096,5.0,12,1997,5,9,2016,2739904.0
הקלרנית 8,30.8.2016,63,25873,3.0,4,1997,30,8,2016,1629999.0
הכינור 4,28.8.2016,68,23529,3.0,1,1998,28,8,2016,1599972.0
הקלרנית 11,21.8.2016,86,20174,4.0,6,2000,21,8,2016,1734964.0
התזמורת 40,18.8.2016,91,22197,4.5,5,1998,18,8,2016,2019927.0
החליל 10,17.8.2016,66,23409,3.0,1,1999,17,8,2016,1544994.0
המפוחית 2,17.8.2016,82,20426,3.5,3,1997,17,8,2016,1674932.0
הקלרנית 3,16.8.2016,80,21500,4.0,3,1997,16,8,2016,1720000.0
החליל 28,16.8.2016,75,18600,3.0,2,1990,16,8,2016,1395000.0
הכינור 7,15.8.2016,143,17482,3.0,6,1999,15,8,2016,2499926.0
הגיתית 2,7.8.2016,92,20271,4.0,4,1999,7,8,2016,1864932.0
הכינור 6,3.8.2016,101,17594,4.0,2,1995,3,8,2016,1776994.0
הפסנתר 4,17.7.2016,92,26086,4.0,1,1995,17,7,2016,2399912.0
התזמורת 54,14.7.2016,89,20337,4.0,5,1997,14,7,2016,1809993.0
המפוחית 3,10.7.2016,82,20731,4.0,1,1990,10,7,2016,1699942.0
העוגב 12,7.7.2016,103,18300,4.0,2,1995,7,7,2016,1884900.0
התוף 5,3.7.2016,44,32954,2.5,4,2000,3,7,2016,1449976.0
המפוחית 12,28.6.2016,87,20689,3.0,3,1995,28,6,2016,1799943.0
המפוחית 8,26.6.2016,82,20121,3.5,4,2000,26,6,2016,1649922.0
הקלרנית 9,22.6.2016,119,23529,5.0,1,1999,22,6,2016,2799951.0
העוגב 2,20.6.2016,100,22800,4.0,1,2000,20,6,2016,2280000.0
התזמורת 52,17.6.2016,77,20454,3.0,1,1998,17,6,2016,1574958.0
החליל 30,15.6.2016,79,20253,4.0,2,1997,15,6,2016,1599987.0
האורגן 3,14.6.2016,84,21845,4.0,2,1995,14,6,2016,1834980.0
התזמורת 44,14.6.2016,100,16850,4.0,2,1999,14,6,2016,1685000.0
הקלרנית 11,7.6.2016,101,17970,4.0,2,2002,7,6,2016,1814970.0
התזמורת 2,31.5.2016,68,24117,3.0,6,2001,31,5,2016,1639956.0
המפוחית 10,26.5.2016,71,22394,3.0,3,1990,26,5,2016,1589974.0
התזמורת 22,25.5.2016,101,22792,4.0,6,1998,25,5,2016,2301992.0
הגיתית 6,9.5.2016,85,20352,3.5,5,1996,9,5,2016,1729920.0
המפוחית 9,24.4.2016,73,21369,3.0,5,2011,24,4,2016,1559937.0
הכינור 7,15.4.2016,95,18473,4.0,4,1999,15,4,2016,1754935.0
